,color-ID,TopColor,color-Description,color-Label,color-Image-url,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New
1193,6c64e587-dfaa-5e8e-9dd1-62a08722c650,White/Metallic Silver/Varsity Red/French Blue,White/Metallic Silver/Varsity Red/French Blue,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/71af6874-1f57-4223-a2e8-9dfc0fbf54d0/image.jpg",220.0,220.0,False,False,False,False,False
1194,08d8a2cf-f399-5e00-9d52-2031471f3125,White/Metallic Silver/Varsity Red/French Blue,Black/Varsity Red/Metallic Silver/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4b3da135-aef5-440a-9a9b-f6669a78428f/image.jpg",220.0,139.97,False,False,False,False,False
1195,d4dab8ae-97bb-5c1e-909f-d950d3482e47,Topaz Gold/Phantom/Sea Coral/Gridiron,Topaz Gold/Phantom/Sea Coral/Gridiron,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/be2a9357-465f-471f-8f41-2e42e88c61e6/image.jpg",180.0,180.0,False,False,False,False,False
1196,e0301497-14a3-56b7-a1b7-af91414bec98,Phantom/Topaz Gold/Summit White/Gridiron,Phantom/Topaz Gold/Summit White/Gridiron,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a865c7b8-31f0-47e5-b977-ac47b0004f3b/image.jpg",120.0,120.0,False,False,False,False,False
1197,5e3722bc-7f62-57a5-95ad-e81f9ea3a9a3,White/Pure Platinum/Wolf Grey/Black,White/Pure Platinum/Wolf Grey/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8099eac6-5df2-49de-9ead-197c2dbdaa26/image.jpg",110.0,110.0,False,False,False,False,False
1198,a0369cfa-db18-5547-a961-10825ed6f401,White/Pure Platinum/Wolf Grey/Black,Anthracite/White/Cool Grey/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/bd9cf7c7-1a09-4451-90db-0ca46db8f0c7/image.jpg",110.0,110.0,False,False,False,False,False
1199,574bfd3c-e33d-553f-a108-7e3fa97d614b,White/Photo Blue/Black,White/Photo Blue/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/28742603-5516-41c6-bcab-0d4b28dfb618/image.jpg",190.0,190.0,False,False,False,False,False
1200,64a47573-2529-52a0-8deb-7f314f06e67e,Black/Anthracite/Cool Grey/White,Black/Anthracite/Cool Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/08f113fb-396f-4445-a89b-f82752a7cb82/image.jpg",130.0,130.0,False,False,False,False,False
1201,38e637d1-4b02-5a9a-acf4-457966b22ecc,Black/Anthracite/Cool Grey/White,Iron Grey/Black/Infrared 23/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c1f3f4c1-8ce6-4fd8-9e44-9b0e2202129a/image.jpg",130.0,88.97,False,False,False,False,False
1202,54c0e819-f314-52a7-9409-2d5a403d4b4a,Black/Anthracite/Cool Grey/White,White/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/38d2ffca-b7ed-45d2-b3de-e3f9595048f5/image.jpg",130.0,130.0,False,False,False,False,False
1203,bad10894-04ea-5a85-9803-e579257f3811,White/Hot Punch/Sanddrift/Gridiron,White/Hot Punch/Sanddrift/Gridiron,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8390c022-8b80-487e-a7b9-49bfc352749c/image.jpg",170.0,170.0,False,False,False,False,False
1204,86cb7108-ecc9-561d-8919-7f59a757e3fc,Phantom/Midwest Gold/Electric Algae/Gridiron,Phantom/Midwest Gold/Electric Algae/Gridiron,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/981a5584-2d0b-4632-baa7-4818e4a0cc3b/image.jpg",200.0,200.0,False,False,False,False,False
1205,1290323e-2500-5c67-92d9-94bde39ecacc,Black/White,Black/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e2e26818-5409-40e2-b038-aa90982f741e/image.jpg",70.0,70.0,False,False,False,False,False
1206,d8d535f1-b426-5a30-afa8-1cc0fea9c7f9,Black/White,White/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d69ef851-e736-484c-9954-38286a360065/image.jpg",70.0,70.0,False,False,False,False,False
1207,c6619666-a66c-56b6-b27b-ea9a72c3b10c,Brilliant Orange/College Navy/White,Brilliant Orange/College Navy/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d82a0bb3-7bc1-434f-acbf-51fc9444922c/image.jpg",120.0,120.0,False,False,False,False,False
1208,6518600b-6da8-5ce7-ad32-c85e71b3950c,Brilliant Orange/College Navy/White,Black/Black/Anthracite,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5a16d650-4cd3-4c33-949b-6d67cfce29b7/image.jpg",120.0,120.0,False,False,False,False,False
